state,country,shape,latitude,longitude 
tx,us,cylinder,29.8830556,-97.9411111
tx,,light,29.38421,-98.581082
,gb,circle,53.2,-2.916667
tx,us,circle,28.9783333,-96.6458333
hi,us,light,21.4180556,-157.8036111
tn,us,sphere,36.595,-82.1888889
,gb,circle,51.434722,-3.18
ct,us,disk,41.1175,-73.4083333
al,us,disk,33.5861111,-86.2861111
fl,us,disk,30.2947222,-82.9841667
ca,us,circle,33.9163889,-118.3516667
nc,us,fireball,35.2333333,-82.7344444
ny,us,disk,40.6686111,-73.5275
ky,us,unknown,37.1536111,-83.7619444
nc,us,oval,35.8238889,-80.2536111
ky,us,circle,36.8430556,-83.3219444
mi,us,disk,42.5377778,-83.2330556
ct,us,disk,41.3252778,-72.1936111
,,light,32.364167,-64.678611
ma,us,other,42.3916667,-71.5666667
,gb,disk,51.5,-3.2
ks,us,light,38.1055556,-98.6597222
sc,us,light,32.8544444,-79.975
wa,us,oval,45.5827778,-122.3522222
,gb,cigar,51.783333,-0.783333
tx,us,other,29.4238889,-98.4933333
ky,us,light,38.2541667,-85.7594444
ny,us,rectangle,40.7008333,-73.7133333
ny,us,chevron,41.7002778,-73.9213889
ab,,triangle,53.970571,-111.689885
ca,us,oval,32.7152778,-117.1563889
co,us,unknown,38.7583333,-104.7425
tx,us,sphere,29.7630556,-95.3630556
tx,us,unknown,32.7833333,-96.8
nh,us,light,42.9955556,-71.4552778
,,disk,-38.662334,178.017649
tx,us,circle,29.7630556,-95.3630556
mi,us,other,44.7630556,-85.6205556
ny,us,formation,41.0338889,-73.7633333
,gb,triangle,53.8,-1.583333
ny,,chevron,41.523427,-73.646795
wi,us,triangle,43.0388889,-87.9063889
me,us,unknown,43.9627778,-70.2830556
co,us,light,40.015,-105.27
wa,us,unknown,47.6063889,-122.3308333
ca,us,disk,34.1577778,-118.6375
wa,us,triangle,46.7163889,-122.9530556
ky,,triangle,36.722263,-86.577218
ga,us,triangle,31.7058333,-83.6533333
nc,us,unknown,35.235,-75.6288889
pa,us,triangle,40.2736111,-76.8847222
fl,us,formation,30.1586111,-85.6602778
tx,us,unknown,29.6158333,-95.5575
tn,us,cigar,35.8905556,-83.7247222
tx,us,unknown,32.7591667,-97.7969444
,,sphere,55.183333,59.65
