"country","datetime","count"
"au","01/01/2005",1
"au","01/01/2008",1
"au","01/01/2011",1
"au","01/02/2014",1
"au","01/07/2006",2
"au","01/07/2007",1
"au","01/10/2006",2
"au","01/10/2007",1
"au","01/10/2011",1
"au","01/11/2010",2
"au","01/11/2013",1
"au","02/03/2013",1
"au","02/07/2010",1
"au","02/11/2009",1
"au","02/12/2006",1
"au","02/12/2007",1
"au","03/03/2006",1
"au","03/03/2014",1
"au","03/04/2005",2
"au","03/05/2005",1
"au","03/07/2005",1
"au","03/07/2007",1
"au","03/07/2013",2
"au","03/08/2005",1
"au","03/08/2006",1
"au","03/08/2014",1
"au","03/10/2013",1
"au","04/01/2005",1
"au","04/01/2008",1
"au","04/04/2014",2
"au","04/05/2005",1
"au","04/07/2006",1
"au","04/07/2010",1
"au","04/09/2011",1
"au","04/09/2013",1
"au","04/11/2008",1
"au","04/12/2013",1
"au","05/01/2008",1
"au","05/02/2007",1
"au","05/04/2005",1
"au","05/04/2013",1
"au","05/05/2006",1
"au","05/05/2008",1
"au","05/05/2009",1
"au","05/05/2012",1
"au","05/06/2005",1
"au","05/06/2013",1
"au","05/07/2010",1
"au","05/08/2014",1
"au","05/09/2012",1
"au","05/10/2008",2
"au","05/11/2012",1
"au","05/12/2006",1
"au","06/03/2006",1
"au","06/04/2013",1
"au","06/05/2010",1
"au","06/07/2005",1
"au","06/07/2006",1
"au","06/07/2013",1
"au","06/08/2005",1
"au","06/09/2005",1
"au","06/10/2010",1
"au","06/11/2005",1
"au","06/12/2007",1
"au","07/03/2013",1
"au","07/05/2005",1
"au","07/05/2012",1
"au","07/07/2007",2
"au","07/11/2008",1
"au","07/11/2010",1
"au","07/12/2006",1
"au","08/03/2012",1
"au","08/07/2007",1
"au","09/02/2006",1
"au","09/02/2013",1
"au","09/04/2012",1
"au","09/07/2008",1
"au","09/09/2007",1
"au","09/10/2009",1
"au","1/14/2006",1
"au","1/14/2013",1
"au","1/15/2005",1
"au","1/15/2007",1
"au","1/19/2005",1
"au","1/19/2009",1
"au","1/19/2011",1
"au","1/22/2009",1
"au","1/24/2006",1
"au","1/25/2013",1
"au","1/28/2006",1
"au","1/31/2011",1
"au","1/31/2014",1
"au","10/01/2007",1
"au","10/02/2007",1
"au","10/03/2013",1
"au","10/05/2006",1
"au","10/06/2012",1
"au","10/16/2012",1
"au","10/28/2012",1
"au","10/30/2006",2
"au","10/30/2011",1
"au","11/01/2013",1
"au","11/06/2005",1
"au","11/06/2009",1
"au","11/08/2010",1
"au","11/11/2013",1
"au","11/12/2005",1
"au","11/12/2013",1
"au","11/15/2005",1
"au","11/16/2013",1
"au","11/17/2009",1
"au","11/18/2006",1
"au","11/20/2005",2
"au","11/27/2010",1
"au","11/27/2011",1
"au","11/28/2010",1
"au","12/02/2010",1
"au","12/04/2005",1
"au","12/07/2007",1
"au","12/14/2012",1
"au","12/15/2009",1
"au","12/15/2013",1
"au","12/21/2005",2
"au","12/22/2005",1
"au","12/25/2007",1
"au","12/25/2010",1
"au","12/26/2013",1
"au","12/29/2005",1
"au","12/29/2006",1
"au","12/30/2005",1
"au","12/31/2013",1
"au","2/15/2005",1
"au","2/18/2012",1
"au","2/18/2013",1
"au","2/19/2009",1
"au","2/24/2007",1
"au","2/25/2008",1
"au","2/25/2011",1
"au","2/25/2014",1
"au","2/26/2006",1
"au","2/28/2012",1
"au","3/13/2006",1
