"word","n"
"lights",11664
"light",11186
"sky",10877
"bright",8517
"object",8182
"orange",7173
"moving",5938
"red",5487
"white",5131
"shaped",3726
"seen",3612
"flying",3249
"like",3169
"ufo",3156
"saw",3099
"craft",2795
"two",2715
"objects",2513
"large",2337
"night",2329
"note",2244
"nuforc",2240
"across",2231
"hovering",2115
"green",2089
"fast",2080
"one",2064
"star",2033
"triangle",2033
"blue",1996
"north",1962
"shape",1850
"formation",1822
"south",1805
"east",1762
"west",1754
"quot",1728
"glowing",1637
"slowly",1618
"high",1579
"low",1569
"three",1556
"fireball",1545
"flashing",1529
"speed",1496
"ball",1493
"sighting",1447
"triangular",1394
"strange",1349
"sound",1307
"disappeared",1254
"moved",1246
"around",1240
"near",1215
"traveling",1194
"round",1164
"orb",1144
"looked",1116
"appeared",1088
"circular",1088
"sphere",1063
"orbs",1040
"yellow",1027
"minutes",1019
"black",1014
"slow",1001
"just",983
"silent",929
"small",927
"oval",898
"39s",842
"observed",823
"line",816
"aircraft",799
"area",799
"possible",799
"away",786
"seconds",786
"spotted",777
"stationary",742
"fire",739
"blinking",732
"flew",706
"silver",687
"direction",681
"color",678
"went",678
"looking",674
"back",670
"changing",653
"altitude",651
"circle",650
"colored",650
"lake",641
"driving",630
"floating",629
"time",626
"four",619
"stars",618
"straight",613
"amp",605
"flash",605
"dark",604
"clear",602
"balls",591
"hoax",589
"going",587
"house",585
"noticed",583
"side",582
"quickly",573
"outside",572
"witnessed",570
"ground",567
"plane",566
"noise",564
"cigar",558
"air",551
"beach",544
"first",540
"horizon",534
"big",532
"see",530
"fireballs",525
"several",524
"hovered",518
"right",517
"city",504
"huge",501
"towards",501
"amber",499
"close",491
"changed",489
"heading",488
"new",488
"spheres",488
"home",485
"clouds",484
"disk",484
"disappearing",482
"multiple",479
"left",474
"move",467
"report",464
"sighted",464
"reddish",459
"moon",437
"county",436
"feet",434
"long",429
"cloud",423
"pulsating",418
"different",415
"extremely",415
"silently",414
"saucer",406
"falling",403
"followed",402
"came",396
"diamond",392
"behind",390
"space",389
"colors",388
"made",387
"coming",382
"disappears",379
"thought",379
"vanished",379
"pattern",377
"suddenly",374
"trail",372
"size",371
"shooting",368
"ufos",363
"san",362
"overhead",361
"ocean",360
"front",359
"lit",359
"western",359
"disc",356
"rate",356
"july",353
"seemed",353
"venus",351
"tree",345
"times",337
"day",335
"another",333
"meteor",331
"fly",330
"rapidly",321
"something",319
"five",317
"florida",317
"jet",317
"eastern",316
"crafts",314
"southern",314
"travelling",313
