"datetime","Count"
2005-01-01,18
2005-01-02,8
2005-01-03,2
2005-01-04,9
2005-01-05,9
2005-01-06,1
2005-01-07,8
2005-01-08,5
2005-01-09,6
2005-01-10,12
2005-01-11,7
2005-01-12,10
2005-01-13,17
2005-01-14,8
2005-01-15,15
2005-01-16,6
2005-01-17,5
2005-01-18,4
2005-01-19,5
2005-01-20,9
2005-01-21,4
2005-01-22,5
2005-01-23,1
2005-01-24,8
2005-01-25,8
2005-01-26,4
2005-01-27,5
2005-01-28,14
2005-01-29,3
2005-01-30,6
2005-01-31,6
2005-02-01,11
2005-02-02,9
2005-02-03,7
2005-02-04,9
2005-02-05,8
2005-02-06,4
2005-02-07,7
2005-02-08,7
2005-02-09,6
2005-02-10,11
2005-02-11,8
2005-02-12,15
2005-02-13,5
2005-02-14,9
2005-02-15,16
2005-02-16,5
2005-02-17,11
2005-02-18,9
2005-02-19,10
2005-02-20,6
2005-02-21,10
2005-02-22,10
2005-02-23,15
2005-02-24,13
2005-02-25,10
2005-02-26,10
2005-02-27,10
2005-02-28,4
2005-03-01,15
2005-03-02,12
2005-03-03,12
2005-03-04,14
2005-03-05,10
2005-03-06,11
2005-03-07,13
2005-03-08,15
2005-03-09,12
2005-03-10,18
2005-03-11,11
2005-03-12,23
2005-03-13,13
2005-03-14,12
2005-03-15,15
2005-03-16,10
2005-03-17,8
2005-03-18,7
2005-03-19,9
2005-03-20,9
2005-03-21,16
2005-03-22,8
2005-03-23,3
2005-03-24,2
2005-03-25,7
2005-03-26,6
2005-03-27,10
2005-03-28,4
2005-03-29,5
2005-03-30,7
2005-03-31,10
2005-04-01,12
2005-04-02,11
2005-04-03,9
2005-04-04,4
2005-04-05,6
2005-04-06,5
2005-04-07,8
2005-04-08,8
2005-04-09,16
2005-04-10,7
2005-04-11,13
2005-04-12,12
2005-04-13,10
2005-04-14,14
2005-04-15,8
2005-04-16,19
2005-04-17,11
2005-04-18,5
2005-04-19,12
2005-04-20,6
2005-04-21,7
2005-04-22,3
2005-04-23,7
2005-04-24,8
2005-04-25,7
2005-04-26,9
2005-04-27,5
2005-04-28,7
2005-04-29,42
2005-04-30,3
2005-05-01,14
2005-05-02,10
2005-05-03,6
2005-05-04,4
2005-05-05,14
2005-05-06,4
2005-05-07,7
2005-05-08,4
2005-05-09,4
2005-05-10,10
2005-05-11,12
2005-05-12,6
2005-05-13,6
2005-05-14,4
2005-05-15,32
2005-05-16,4
2005-05-17,2
2005-05-18,10
2005-05-19,10
2005-05-20,15
2005-05-21,12
2005-05-22,6
2005-05-23,11
2005-05-24,9
2005-05-25,12
2005-05-26,7
2005-05-27,6
2005-05-28,9
2005-05-29,5
2005-05-30,8
2005-05-31,8
2005-06-01,15
2005-06-02,8
2005-06-03,4
2005-06-04,6
2005-06-05,13
2005-06-06,12
2005-06-07,16
2005-06-08,8
2005-06-09,9
2005-06-10,6
2005-06-11,16
2005-06-12,4
2005-06-13,9
2005-06-14,11
2005-06-15,36
2005-06-16,11
2005-06-17,14
2005-06-18,11
2005-06-19,22
2005-06-20,9
2005-06-21,11
2005-06-22,8
2005-06-23,12
2005-06-24,13
2005-06-25,16
2005-06-26,10
2005-06-27,5
2005-06-28,13
2005-06-29,11
2005-06-30,29
2005-07-01,10
2005-07-02,10
2005-07-03,21
2005-07-04,32
2005-07-05,16
2005-07-06,15
2005-07-07,10
2005-07-08,11
2005-07-09,24
2005-07-10,15
2005-07-11,17
2005-07-12,8
2005-07-13,15
2005-07-14,15
2005-07-15,28
2005-07-16,13
2005-07-17,10
2005-07-18,14
2005-07-19,8
2005-07-20,9
2005-07-21,10
2005-07-22,8
2005-07-23,12
2005-07-24,8
2005-07-25,9
2005-07-26,4
2005-07-27,12
2005-07-28,13
2005-07-29,12
2005-07-30,12
2005-07-31,19
2005-08-01,19
2005-08-02,10
2005-08-03,5
2005-08-04,12
2005-08-05,16
2005-08-06,18
2005-08-07,9
2005-08-08,6
2005-08-09,3
2005-08-10,12
2005-08-11,14
2005-08-12,19
2005-08-13,2
2005-08-14,10
2005-08-15,28
2005-08-16,6
2005-08-17,5
2005-08-18,5
2005-08-19,10
2005-08-20,15
2005-08-21,10
2005-08-22,8
2005-08-23,7
2005-08-24,8
2005-08-25,10
2005-08-26,7
2005-08-27,18
2005-08-28,7
2005-08-29,8
2005-08-30,7
2005-08-31,8
2005-09-01,20
2005-09-02,24
2005-09-03,14
2005-09-04,10
2005-09-05,12
2005-09-06,16
2005-09-07,12
2005-09-08,13
2005-09-09,10
2005-09-10,17
2005-09-11,17
2005-09-12,13
2005-09-13,15
2005-09-14,9
2005-09-15,18
2005-09-16,8
2005-09-17,18
